model,external_key,anchor_item,value,explanation
claude-haiku-4-5,kreps2020_r1848,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low major side effect rate are compelling, and WHO backing outweighs my concern about China's origin."
claude-haiku-4-5,kreps2020_r1848,anchor_75th_pct_likelihood,6,"US origin, CDC endorsement, 70% efficacy, and 5-year protection make this very attractive; I'd likely accept it."
claude-haiku-4-5,kreps2020_r1848,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, 5-year duration, minimal side effects, and WHO endorsement make this extremely compelling."
claude-haiku-4-5,kreps2020_r1302,anchor_1st_pct_likelihood,2,"The Chinese origin combined with Biden's endorsement raises concerns as a conservative, and the 50% efficacy with 1-in-10 minor side effect risk seems insufficient."
claude-haiku-4-5,kreps2020_r1302,anchor_25th_pct_likelihood,4,"A UK-sourced vaccine endorsed by the CDC is more credible than the first option, but 50% efficacy and a year-long protection duration still feel limited."
claude-haiku-4-5,kreps2020_r1302,anchor_50th_pct_likelihood,3,"Despite the improved 90% efficacy and very low side effect risk, the Chinese origin and WHO endorsement (which I view skeptically) still give me pause."
claude-haiku-4-5,kreps2020_r1302,anchor_75th_pct_likelihood,6,"A US-made vaccine with CDC endorsement, 70% efficacy, 5-year protection, and low side effect risk aligns well with my conservative values and preference for domestic products."
claude-haiku-4-5,kreps2020_r1302,anchor_99th_pct_likelihood,7,"The 90% efficacy, full FDA approval, 5-year protection, minimal major side effects, and UK origin with WHO endorsement make this objectively the strongest vaccine option available."
claude-haiku-4-5,kreps2020_r1165,anchor_1st_pct_likelihood,1,"The combination of a Chinese origin vaccine endorsed by Biden, with only 50% efficacy and a 1 in 10 chance of minor side effects, raises serious concerns for someone with my conservative values regarding government overreach and foreign sources."
claude-haiku-4-5,kreps2020_r1165,anchor_25th_pct_likelihood,3,"While the UK origin and CDC endorsement are more reassuring than the first option, the 50% efficacy and minor side effect rate still make me slightly unlikely to accept it."
claude-haiku-4-5,kreps2020_r1165,anchor_50th_pct_likelihood,2,"Despite the improved 90% efficacy and minimal major side effect risk, the Chinese origin combined with only WHO endorsement (not a US source I trust) keeps me moderately unlikely."
claude-haiku-4-5,kreps2020_r1165,anchor_75th_pct_likelihood,5,"A US-origin vaccine with 70% efficacy, 5-year protection, and CDC endorsement makes me slightly likely to consider it, as these factors align better with my preference for domestic solutions."
claude-haiku-4-5,kreps2020_r1165,anchor_99th_pct_likelihood,6,"The full FDA approval, 90% efficacy, 5-year duration, and extremely low side effect risk make me moderately likely to accept this vaccine despite the WHO endorsement being less important than the strong safety profile and full regulatory approval."
claude-haiku-4-5,kreps2020_r0097,anchor_1st_pct_likelihood,2,The Chinese origin combined with Biden's endorsement as a Democrat makes this unlikely for a conservative Republican like myself.
claude-haiku-4-5,kreps2020_r0097,anchor_25th_pct_likelihood,4,"The UK origin and CDC endorsement improve it, but 50% efficacy is modest and I remain cautious about emergency authorization."
claude-haiku-4-5,kreps2020_r0097,anchor_50th_pct_likelihood,3,"Despite excellent 90% efficacy and minimal side effects, the Chinese origin is a significant concern that outweighs the strong technical specs."
claude-haiku-4-5,kreps2020_r0097,anchor_75th_pct_likelihood,6,"American origin with CDC backing, solid 70% efficacy, and long 5-year protection make this very acceptable to me."
claude-haiku-4-5,kreps2020_r0097,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, minimal side effects, and 5-year duration from a UK source with WHO endorsement represents the best possible scenario."
claude-haiku-4-5,kreps2020_r1254,anchor_1st_pct_likelihood,1,"Biden endorsement and China origin are major red flags for a very conservative Republican, combined with only 50% efficacy."
claude-haiku-4-5,kreps2020_r1254,anchor_25th_pct_likelihood,3,"CDC endorsement and UK origin are more reassuring, but 50% efficacy is still too low to consider it worthwhile."
claude-haiku-4-5,kreps2020_r1254,anchor_50th_pct_likelihood,2,"Although efficacy is excellent at 90% with minimal side effects, the China origin and WHO endorsement raise concerns despite the better profile."
claude-haiku-4-5,kreps2020_r1254,anchor_75th_pct_likelihood,6,"US origin, CDC endorsement, strong efficacy, and long-lasting protection make this genuinely attractive as a conservative."
claude-haiku-4-5,kreps2020_r1254,anchor_99th_pct_likelihood,6,"Excellent efficacy, minimal side effects, long duration, and full FDA approval outweigh WHO endorsement concerns given the overall superior safety and effectiveness profile."
claude-haiku-4-5,kreps2020_r1269,anchor_1st_pct_likelihood,2,Chinese origin combined with Biden endorsement creates distrust; the 50% efficacy and 1-in-10 minor side effect rate are concerning for a conservative Republican.
claude-haiku-4-5,kreps2020_r1269,anchor_25th_pct_likelihood,4,"UK origin and CDC endorsement are more credible, but 50% efficacy is still moderate and the same minor side effect rate keeps me neutral."
claude-haiku-4-5,kreps2020_r1269,anchor_50th_pct_likelihood,3,"Despite excellent 90% efficacy and minimal side effects, Chinese origin outweighs the technical benefits given geopolitical concerns."
claude-haiku-4-5,kreps2020_r1269,anchor_75th_pct_likelihood,6,"US origin with CDC backing, strong 70% efficacy, 5-year protection, and acceptable side effect rates make this a credible and attractive option."
claude-haiku-4-5,kreps2020_r1269,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, 5-year duration, minimal side effects, and international credibility from WHO make this the most compelling vaccine option."
claude-haiku-4-5,kreps2020_r0918,anchor_1st_pct_likelihood,3,"The 50% efficacy is modest and the Chinese origin raises concerns despite Biden's endorsement, making me slightly unlikely to accept it."
claude-haiku-4-5,kreps2020_r0918,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement are reassuring, and while 50% efficacy is low, the established institutions supporting it make me slightly likely to accept."
claude-haiku-4-5,kreps2020_r0918,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low major side effect rate are compelling, and WHO endorsement carries weight despite the China origin, making me moderately likely."
claude-haiku-4-5,kreps2020_r0918,anchor_75th_pct_likelihood,7,"US origin, CDC backing, strong efficacy, long protection duration, and low major side effect risk make this the most trustworthy option I would extremely likely accept."
claude-haiku-4-5,kreps2020_r0918,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, five-year protection, and WHO endorsement combined with minimal side effect risk make me extremely likely to get this vaccine."
claude-haiku-4-5,kreps2020_r0375,anchor_1st_pct_likelihood,3,"The low 50% efficacy and Chinese origin concern me despite Biden's endorsement, making me slightly unlikely to accept this vaccine."
claude-haiku-4-5,kreps2020_r0375,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement are reassuring factors that outweigh the moderate efficacy, making me slightly likely to get vaccinated."
claude-haiku-4-5,kreps2020_r0375,anchor_50th_pct_likelihood,6,"The excellent 90% efficacy and extremely low major side effect rate make me moderately likely despite the Chinese origin, as the WHO endorsement provides credibility."
claude-haiku-4-5,kreps2020_r0375,anchor_75th_pct_likelihood,7,"US origin, strong 70% efficacy, 5-year protection, CDC endorsement, and low side effect rates make me extremely likely to accept this vaccine."
claude-haiku-4-5,kreps2020_r0375,anchor_99th_pct_likelihood,7,"The combination of 90% efficacy, 5-year duration, full FDA approval, minimal major side effects, and WHO endorsement makes me extremely likely to get this vaccine."
claude-haiku-4-5,kreps2020_r1890,anchor_1st_pct_likelihood,4,"The 50% efficacy is concerning and the Chinese origin raises some hesitation despite Biden's endorsement, leaving me neutral on this option."
claude-haiku-4-5,kreps2020_r1890,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement are reassuring factors that outweigh the moderate efficacy, making me slightly inclined to accept it."
claude-haiku-4-5,kreps2020_r1890,anchor_50th_pct_likelihood,6,"The high 90% efficacy and extremely low major side effect risk make this attractive, and WHO endorsement helps offset concerns about the Chinese origin."
claude-haiku-4-5,kreps2020_r1890,anchor_75th_pct_likelihood,7,"As a liberal Democrat, I trust US institutions and the CDC, combined with strong efficacy, extended protection duration, and domestic origin, this is clearly the best option."
claude-haiku-4-5,kreps2020_r1890,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, 5-year protection, and minimal side effects make this the safest and most effective option available."
claude-haiku-4-5,kreps2020_r0715,anchor_1st_pct_likelihood,4,"The 50% efficacy and China origin give me pause despite Biden's endorsement, so I'm neutral rather than clearly leaning either way."
claude-haiku-4-5,kreps2020_r0715,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement are reassuring, and while 50% efficacy isn't ideal, I'd lean slightly toward getting it."
claude-haiku-4-5,kreps2020_r0715,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low side effect risk outweigh concerns about China's origin, especially with WHO backing."
claude-haiku-4-5,kreps2020_r0715,anchor_75th_pct_likelihood,7,"US origin, CDC endorsement, strong efficacy, and longer protection duration make this highly compelling and I'd definitely get it."
claude-haiku-4-5,kreps2020_r0715,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, minimal side effects, and 5-year protection represent an optimal vaccine profile I would absolutely accept."
claude-haiku-4-5,kreps2020_r0574,anchor_1st_pct_likelihood,2,"The Chinese origin combined with Biden's endorsement raises concerns for me as a conservative, despite the reasonable safety profile."
claude-haiku-4-5,kreps2020_r0574,anchor_25th_pct_likelihood,4,"The UK origin and CDC endorsement are more reassuring, but the 50% efficacy and one-year duration make me uncertain about its practical value."
claude-haiku-4-5,kreps2020_r0574,anchor_50th_pct_likelihood,3,"While the 90% efficacy and minimal side effect risk are compelling, the Chinese origin remains a significant concern that outweighs the benefits."
claude-haiku-4-5,kreps2020_r0574,anchor_75th_pct_likelihood,6,US origin with CDC backing and improved five-year protection duration make this much more acceptable to me as a conservative despite the 70% efficacy.
claude-haiku-4-5,kreps2020_r0574,anchor_99th_pct_likelihood,7,"Full FDA approval, excellent efficacy and duration, minimal side effects, and UK origin with WHO endorsement make this the most compelling option available."
claude-haiku-4-5,kreps2020_r0330,anchor_1st_pct_likelihood,4,"The 50% efficacy and 1-in-10 minor side effect risk give me pause, though the Biden endorsement and FDA authorization are reassuring; I'm genuinely uncertain about this modest benefit-risk profile."
claude-haiku-4-5,kreps2020_r0330,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement boost my confidence, and while 50% efficacy is still modest, the improved endorsement source makes me slightly more inclined to accept it."
claude-haiku-4-5,kreps2020_r0330,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely rare major side effect risk are compelling, and the WHO endorsement carries weight despite the China origin; I'd likely get this vaccine."
claude-haiku-4-5,kreps2020_r0330,anchor_75th_pct_likelihood,7,"As a very liberal, educated Democrat, I strongly trust the CDC, US origin is reassuring, 70% efficacy with 5-year protection is solid, and the risk profile is acceptable; I'd definitely get this."
claude-haiku-4-5,kreps2020_r0330,anchor_99th_pct_likelihood,7,"With 90% efficacy, full FDA approval, 5-year protection, and WHO endorsement, this represents the gold standard of vaccine safety and effectiveness; I would absolutely take this vaccine."
claude-haiku-4-5,kreps2020_r1140,anchor_1st_pct_likelihood,3,"The 50% efficacy is low, and I'm concerned about a vaccine from China despite Biden's endorsement, which makes me slightly unlikely to accept it."
claude-haiku-4-5,kreps2020_r1140,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement reassure me, and while 50% efficacy isn't ideal, the low major side effect risk makes me slightly likely to get it."
claude-haiku-4-5,kreps2020_r1140,anchor_50th_pct_likelihood,5,"The 90% efficacy and extremely low major side effect rate are compelling, though the China origin gives me pause, so I'm slightly likely overall."
claude-haiku-4-5,kreps2020_r1140,anchor_75th_pct_likelihood,6,"US origin, CDC endorsement, 70% efficacy, and 5-year protection with minimal side effect risks make me moderately likely to get this vaccine."
claude-haiku-4-5,kreps2020_r1140,anchor_99th_pct_likelihood,7,"The full FDA approval, 90% efficacy, 5-year duration, and negligible major side effects make this extremely likely for me to accept."
claude-haiku-4-5,kreps2020_r0770,anchor_1st_pct_likelihood,3,"The 50% efficacy is low, and concerns about a Chinese origin combined with only emergency authorization make me hesitant despite Biden's endorsement."
claude-haiku-4-5,kreps2020_r0770,anchor_25th_pct_likelihood,5,The CDC endorsement and UK origin are reassuring factors that outweigh the modest 50% efficacy and emergency authorization status.
claude-haiku-4-5,kreps2020_r0770,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low major side effect risk are compelling, and WHO endorsement provides credibility despite the Chinese origin."
claude-haiku-4-5,kreps2020_r0770,anchor_75th_pct_likelihood,6,"The US origin, CDC endorsement, strong 70% efficacy, and 5-year protection duration make this a very attractive option."
claude-haiku-4-5,kreps2020_r0770,anchor_99th_pct_likelihood,7,"The full FDA approval, 90% efficacy, 5-year duration, minimal side effects, and WHO endorsement make this the most trustworthy and protective option available."
claude-haiku-4-5,kreps2020_r0501,anchor_1st_pct_likelihood,3,"The low 50% efficacy and China's origin concern me despite Biden's endorsement, as my liberal values prioritize public health but the risk-benefit ratio seems unfavorable."
claude-haiku-4-5,kreps2020_r0501,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement are reassuring, and while 50% efficacy is modest, trusted public health authority support makes this slightly likely."
claude-haiku-4-5,kreps2020_r0501,anchor_50th_pct_likelihood,5,"The 90% efficacy and extremely low major side effect rate are compelling, but China's origin and WHO endorsement (rather than US authority) gives me modest confidence as a liberal."
claude-haiku-4-5,kreps2020_r0501,anchor_75th_pct_likelihood,6,"US origin, 70% efficacy, 5-year protection, CDC endorsement, and low side effect risk all align well with my public health-focused liberal values."
claude-haiku-4-5,kreps2020_r0501,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, 5-year duration, minimal side effects, and WHO endorsement make this the most trustworthy option for someone prioritizing disease prevention."
claude-haiku-4-5,kreps2020_r0334,anchor_1st_pct_likelihood,3,"While the efficacy and safety profile are reasonable, the Chinese origin and Biden endorsement combined with only 50% efficacy makes me hesitant as a liberal Republican skeptical of both partisan politics and foreign vaccines."
claude-haiku-4-5,kreps2020_r0334,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement are reassuring, and though 50% efficacy is modest, the strong institutional backing from a health authority I trust outweighs my concerns."
claude-haiku-4-5,kreps2020_r0334,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low major side effect rate are compelling, and despite the Chinese origin, WHO endorsement provides credible international validation."
claude-haiku-4-5,kreps2020_r0334,anchor_75th_pct_likelihood,7,"US origin combined with 70% efficacy, 5-year duration, CDC endorsement, and favorable safety profile align with my preferences and professional standards."
claude-haiku-4-5,kreps2020_r0334,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, 5-year protection, excellent safety profile, and WHO endorsement make this the most compelling option regardless of origin."
claude-haiku-4-5,kreps2020_r1930,anchor_1st_pct_likelihood,3,"While Biden's endorsement helps and the efficacy is adequate, the low 50% efficacy combined with China's origin makes me hesitant despite the acceptable side effect risk."
claude-haiku-4-5,kreps2020_r1930,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement are reassuring, and although 50% efficacy is modest, trusted US health authorities backing it increases my willingness."
claude-haiku-4-5,kreps2020_r1930,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low major side effect rate are compelling, and despite China's origin, WHO endorsement from a reputable international body gives me confidence."
claude-haiku-4-5,kreps2020_r1930,anchor_75th_pct_likelihood,7,"US origin, 70% efficacy, 5-year protection, CDC endorsement, and manageable side effect profiles make this a clear choice for me."
claude-haiku-4-5,kreps2020_r1930,anchor_99th_pct_likelihood,7,"The combination of 90% efficacy, full FDA approval, 5-year duration, minimal major side effects, and WHO endorsement represents an optimal vaccine that I would definitely accept."
claude-haiku-4-5,kreps2020_r0206,anchor_1st_pct_likelihood,3,"The 50% efficacy is modest, and while Biden's endorsement aligns with my liberal ideology, the Chinese origin and emergency authorization give me pause despite my education level suggesting I understand the safety profile."
claude-haiku-4-5,kreps2020_r0206,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement are reassuring, and though 50% efficacy is still moderate, the credible public health backing from the CDC appeals to my fact-based, liberal perspective."
claude-haiku-4-5,kreps2020_r0206,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low major side effect rate (1 in 1 million) are compelling, and while the Chinese origin is a slight concern, the WHO endorsement and strong vaccine performance outweigh this given my liberal, evidence-based orientation."
claude-haiku-4-5,kreps2020_r0206,anchor_75th_pct_likelihood,7,"US origin, 70% efficacy, 5-year protection, CDC endorsement, and reasonable side effect profile create an optimal scenario that I would definitely accept, especially as a highly educated person valuing public health."
claude-haiku-4-5,kreps2020_r0206,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, 5-year duration, WHO endorsement, and minimal side effects represent the gold standard, making acceptance a clear choice despite my Republican party affiliation suggesting some skepticism about government agencies."
claude-haiku-4-5,kreps2020_r0830,anchor_1st_pct_likelihood,2,A Chinese-origin vaccine endorsed by Biden with only 50% efficacy and a 1 in 10 chance of minor side effects raises too many concerns for me to accept it.
claude-haiku-4-5,kreps2020_r0830,anchor_25th_pct_likelihood,4,"The UK origin and CDC endorsement are more reassuring, but 50% efficacy and minor side effect risks still leave me uncertain about whether to proceed."
claude-haiku-4-5,kreps2020_r0830,anchor_50th_pct_likelihood,3,"Even though the 90% efficacy and minimal major side effect risk are attractive, the Chinese origin makes me hesitant despite the WHO endorsement."
claude-haiku-4-5,kreps2020_r0830,anchor_75th_pct_likelihood,6,"A US-made vaccine with 70% efficacy, 5-year protection, CDC endorsement, and strong safety profile gives me confidence to likely accept it."
claude-haiku-4-5,kreps2020_r0830,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, 5-year duration, minimal side effects, and UK origin with WHO endorsement makes this an extremely attractive option I would definitely accept."
claude-haiku-4-5,kreps2020_r0803,anchor_1st_pct_likelihood,3,"The 50% efficacy is concerning, and I'm hesitant about a Chinese-origin vaccine despite Biden's endorsement, though the emergency authorization is somewhat reassuring."
claude-haiku-4-5,kreps2020_r0803,anchor_25th_pct_likelihood,5,"The CDC endorsement and UK origin are more trustworthy to me than the first scenario, and the same efficacy with institutional backing makes this moderately appealing."
claude-haiku-4-5,kreps2020_r0803,anchor_50th_pct_likelihood,5,"The 90% efficacy and extremely low major side effect rate are very positive, though the Chinese origin still gives me some pause despite WHO endorsement."
claude-haiku-4-5,kreps2020_r0803,anchor_75th_pct_likelihood,6,"US origin with CDC backing, strong 70% efficacy, and five-year protection make this highly attractive and address my primary concerns."
claude-haiku-4-5,kreps2020_r0803,anchor_99th_pct_likelihood,7,"Full FDA approval, 90% efficacy, minimal side effects, five-year duration, and WHO endorsement make this an extremely compelling option that I would definitely accept."
claude-haiku-4-5,kreps2020_r0872,anchor_1st_pct_likelihood,3,"The low efficacy of 50% combined with China's origin raises concerns despite Biden's endorsement, making me slightly unlikely to accept it."
claude-haiku-4-5,kreps2020_r0872,anchor_25th_pct_likelihood,5,"The same efficacy level is more acceptable with a UK origin and CDC endorsement, which I trust more, making me slightly likely to get it."
claude-haiku-4-5,kreps2020_r0872,anchor_50th_pct_likelihood,6,The significantly improved 90% efficacy and extremely low major side effect risk outweigh concerns about China's origin when backed by the WHO.
claude-haiku-4-5,kreps2020_r0872,anchor_75th_pct_likelihood,7,"The combination of solid 70% efficacy, 5-year protection, US origin, and CDC endorsement makes me extremely likely to accept this vaccine."
claude-haiku-4-5,kreps2020_r0872,anchor_99th_pct_likelihood,7,"Excellent efficacy, minimal side effect risks, full FDA approval, and WHO endorsement make this the most compelling option regardless of UK origin."
claude-haiku-4-5,kreps2020_r1100,anchor_1st_pct_likelihood,3,"The 50% efficacy is modest, and while Biden's endorsement aligns with my Democratic affiliation, the Chinese origin and 1-in-10 minor side effect rate give me pause."
claude-haiku-4-5,kreps2020_r1100,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement are reassuring, and the same safety profile with trusted institutional backing makes this moderately appealing despite the 50% efficacy."
claude-haiku-4-5,kreps2020_r1100,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low major side effect rate (1 in 1 million) are compelling, though the Chinese origin gives me slight hesitation as a somewhat conservative Democrat."
claude-haiku-4-5,kreps2020_r1100,anchor_75th_pct_likelihood,7,"The US origin, 70% efficacy, 5-year protection, and CDC endorsement represent an optimal combination of safety, effectiveness, and trustworthy institutional support."
claude-haiku-4-5,kreps2020_r1100,anchor_99th_pct_likelihood,7,"The 90% efficacy, 5-year duration, full FDA approval, and WHO endorsement are all highly favorable, and the UK origin eliminates my prior concerns."
claude-haiku-4-5,kreps2020_r1657,anchor_1st_pct_likelihood,2,"The 50% efficacy is modest, the one-year protection is short-term, and the Chinese origin combined with Biden's endorsement (opposing my party) makes this unappealing despite FDA authorization."
claude-haiku-4-5,kreps2020_r1657,anchor_25th_pct_likelihood,4,"The UK origin and CDC endorsement are more reassuring, but 50% efficacy remains low and leaves me uncertain about whether the benefits justify vaccination."
claude-haiku-4-5,kreps2020_r1657,anchor_50th_pct_likelihood,5,"The 90% efficacy and extremely low major side effect risk are compelling, though the Chinese origin and one-year duration give me slight pause as a moderate Republican."
claude-haiku-4-5,kreps2020_r1657,anchor_75th_pct_likelihood,6,"US origin, CDC endorsement, 70% efficacy with five-year protection, and favorable side effect odds make this a clearly attractive option that I'd likely accept."
claude-haiku-4-5,kreps2020_r1657,anchor_99th_pct_likelihood,7,"The high efficacy, five-year duration, full FDA approval, and minimal major side effects make this an excellent vaccine that I would definitely get regardless of origin."
claude-haiku-4-5,kreps2020_r1214,anchor_1st_pct_likelihood,3,"While I support Biden and trust emergency authorization, the 50% efficacy and Chinese origin raise concerns about effectiveness and international trust."
claude-haiku-4-5,kreps2020_r1214,anchor_25th_pct_likelihood,5,"The UK origin and CDC endorsement improve credibility, and though efficacy is still modest at 50%, the risk profile is acceptable and scientifically vetted."
claude-haiku-4-5,kreps2020_r1214,anchor_50th_pct_likelihood,6,"The 90% efficacy and extremely low major side effect risk are compelling, and WHO endorsement carries weight despite the Chinese origin being a minor consideration."
claude-haiku-4-5,kreps2020_r1214,anchor_75th_pct_likelihood,7,"As a very liberal person, I strongly support vaccines backed by US science and the CDC, with 70% efficacy, 5-year protection, and minimal risks making this clearly advisable."
claude-haiku-4-5,kreps2020_r1214,anchor_99th_pct_likelihood,7,"The full FDA approval, 90% efficacy, 5-year duration, and WHO endorsement represent the gold standard for vaccine safety and effectiveness I would enthusiastically accept."
claude-haiku-4-5,kreps2020_r1180,anchor_1st_pct_likelihood,2,"The 50% efficacy is too low, the 1 in 10 minor side effect rate is concerning, and I'm skeptical of a Chinese-origin vaccine despite Biden's endorsement as a moderate Republican."
claude-haiku-4-5,kreps2020_r1180,anchor_25th_pct_likelihood,4,"While the UK origin and CDC endorsement are more reassuring, the 50% efficacy and 1 in 10 minor side effect rate still leave me neutral overall."
claude-haiku-4-5,kreps2020_r1180,anchor_50th_pct_likelihood,5,"The 90% efficacy and extremely low major side effect rate are compelling, though the Chinese origin gives me slight hesitation despite WHO endorsement."
claude-haiku-4-5,kreps2020_r1180,anchor_75th_pct_likelihood,6,"The US origin, 70% efficacy, 5-year protection, and CDC endorsement make this appealing; I'd likely get this vaccine as a responsible choice."
claude-haiku-4-5,kreps2020_r1180,anchor_99th_pct_likelihood,7,"The 90% efficacy, full FDA approval, 5-year duration, extremely low major side effect risk, and respectable endorsements make this an easy accept."
claude-haiku-4-5,kreps2020_r0304,anchor_1st_pct_likelihood,3,"The 50% efficacy is modest, the Chinese origin raises concerns about manufacturing standards, and while Biden's endorsement carries some weight, the combination of these factors makes me slightly unlikely to accept this vaccine."
claude-haiku-4-5,kreps2020_r0304,anchor_25th_pct_likelihood,5,"The UK origin is more reassuring, CDC endorsement is credible, and the same safety profile as the first option is acceptable, making me slightly likely to get this vaccine."
claude-haiku-4-5,kreps2020_r0304,anchor_50th_pct_likelihood,6,"The significantly higher 90% efficacy and extremely low major side effect risk (1 in 1 million) outweigh my concerns about the Chinese origin, especially with WHO endorsement, making me moderately likely to accept this."
claude-haiku-4-5,kreps2020_r0304,anchor_75th_pct_likelihood,7,"US origin, CDC endorsement, 70% efficacy, 5-year protection, and strong safety profile combine to make this extremely appealing, so I would be extremely likely to get this vaccine."
claude-haiku-4-5,kreps2020_r0304,anchor_99th_pct_likelihood,7,"The 90% efficacy, 5-year duration, minimal side effects, full FDA approval status, and WHO endorsement represent the ideal vaccine profile, making me extremely likely to accept this."
claude-haiku-4-5,kreps2020_r0210,anchor_1st_pct_likelihood,2,The Chinese origin combined with Biden's endorsement as a Democratic figure makes this unappealing to me as a conservative Republican.
claude-haiku-4-5,kreps2020_r0210,anchor_25th_pct_likelihood,4,"The UK origin and CDC endorsement are more trustworthy, but the modest 50% efficacy leaves me uncertain."
claude-haiku-4-5,kreps2020_r0210,anchor_50th_pct_likelihood,3,"Despite the excellent 90% efficacy and minimal side effect risk, the Chinese origin raises significant concerns for me."
claude-haiku-4-5,kreps2020_r0210,anchor_75th_pct_likelihood,6,"The US origin, strong CDC endorsement, good efficacy, and long-term protection make this a credible option I would likely accept."
claude-haiku-4-5,kreps2020_r0210,anchor_99th_pct_likelihood,7,"The full FDA approval, excellent efficacy, minimal side effects, and long duration of protection make this the clear choice regardless of other factors."
claude-haiku-4-5,kreps2020_r1622,anchor_1st_pct_likelihood,3,The 50% efficacy is concerning and the China origin combined with Biden endorsement rather than health authorities makes me slightly unlikely to take this vaccine.
claude-haiku-4-5,kreps2020_r1622,anchor_25th_pct_likelihood,5,"The CDC endorsement and UK origin are reassuring factors that outweigh the modest 50% efficacy, making me slightly likely to consider this vaccine."
claude-haiku-4-5,kreps2020_r1622,anchor_50th_pct_likelihood,6,The high 90% efficacy and extremely low major side effect risk make me moderately likely to get this vaccine despite the China origin since the WHO endorses it.
claude-haiku-4-5,kreps2020_r1622,anchor_75th_pct_likelihood,7,"The US origin, CDC endorsement, strong 70% efficacy, 5-year protection, and low major side effect risk make me extremely likely to get this vaccine."
